"","Provincias","Year","Mes","dia","fecha","Población","Unidades","Euros","precio","UdesxCapita"
"1","Álava","2005","1","15",2005-01-15,260982,2009297.5,4483980.2,2.23161587569785,7.69898881915228
"2","Albacete","2005","1","15",2005-01-15,314481,2427114.75,5350696.5,2.20455027929767,7.71784225438103
"3","Alicante/Alacant","2005","1","15",2005-01-15,1405806,19032873.7,44436908.2,2.33474507845865,13.5387626030903
"4","Almería","2005","1","15",2005-01-15,496735,5046687.5,11531556.2,2.28497528329226,10.1597179582675
"5","Asturias","2005","1","15",2005-01-15,957186,7485456.55,16412736.93,2.1926166854846,7.82027375034737
"6","Ávila","2005","1","15",2005-01-15,147568,1065677.05,2323611.6,2.18040878331761,7.22159987260111
"7","Badajoz","2005","1","15",2005-01-15,545164,4325145,9083102.85,2.10006898034632,7.93365849542523
"8","Balears (Illes)","2005","1","15",2005-01-15,793948,9992608.85,23987724.3,2.40054671008162,12.5859739554732
"9","Barcelona","2005","1","15",2005-01-15,4397957,36017174.15,82578287.85,2.29274755165655,8.18952394259425
"10","Burgos","2005","1","15",2005-01-15,314870,2406726.5,5372937.95,2.23246719143201,7.64355607075936
"11","Cáceres","2005","1","15",2005-01-15,342615,2740027.5,5851963.4,2.13573163043072,7.99739503524364
"12","Cádiz","2005","1","15",2005-01-15,934233,6748571,14474201,2.14478013197164,7.22364870433821
"13","Cantabria","2005","1","15",2005-01-15,487159,3983440.5,8905566.9,2.23564702422441,8.17687962246412
"14","Castellón/Castelló","2005","1","15",2005-01-15,454921,4085593.85,8939027.95,2.18793846823516,8.98088646160542
"15","Ciudad Real","2005","1","15",2005-01-15,411670,3154862.5,6798311.45,2.154867747802,7.66357155002794
"16","Córdoba","2005","1","15",2005-01-15,634683,5109263.6,10927359.35,2.13873469945845,8.05010312234612
"17","Coruña (A)","2005","1","15",2005-01-15,981848,7350153.2,16081614.25,2.18792912370861,7.48603979434699
"18","Cuenca","2005","1","15",2005-01-15,178173,1319284,2864985.5,2.17162150075344,7.40451134571456
"19","Girona","2005","1","15",2005-01-15,553514,12689589.7,27194896.2,2.1430871165204,22.9255081172292
"20","Granada","2005","1","15",2005-01-15,701531,6075855.95,13374694.7,2.2012856805797,8.66085169436561
"21","Guadalajara","2005","1","15",2005-01-15,174516,1541837.5,3385898.1935,2.19601494547901,8.834934905682
"22","Guipúzcoa","2005","1","15",2005-01-15,593167,9329297.25,19773749,2.119532529634,15.727943816834
"23","Huelva","2005","1","15",2005-01-15,395486,3631148,7826145.2,2.15528124989673,9.18148303606196
"24","Huesca","2005","1","15",2005-01-15,189622,1847940.5,4078704.35,2.20716216241811,9.74539083017793
"25","Jaén","2005","1","15",2005-01-15,528685,4457122.5,9537803.5,2.1399015844864,8.43058248295299
"26","León","2005","1","15",2005-01-15,436606,3132426,6976306.9,2.22712584431364,7.17449141789165
"27","Lleida","2005","1","15",2005-01-15,341375,5258109,11150246.9,2.12058116330415,15.4027359941413
"28","Lugo","2005","1","15",2005-01-15,323550,2057548,4487695.75,2.18108921395758,6.35928913614588
